questionText,cleaned_question,emotion_label
"I have lately been having lots of anxiety and self-loathing about the fact that I am a young adult virgin girl who has never had a boyfriend before. It seems like everyone my age has already had boyfriends by now or are not virgins anymore, and I just had my first kiss five months ago. I’m worried that, at this rate, I won’t have a boyfriend for a very long time. The problem is that I want to lose my virginity to my first boyfriend who cares about me, but at the same time, I don't want to be waiting forever in order to experience sex. I have already given in to bad temptations by hooking up with random strangers on social media sites and having oral sex with them. Luckily, they were nice guys, but none of them wanted a relationship with me. I feel dirty by doing this, but I feel pressured to do this things in order to seem normal.

Most people are surprised when they find out that I am a virgin or never had a boyfriend because people think I am really good looking. I am tall, I play lots of sports, and I get excellent grades in school. I am in my first year of university right now, and no guys have approached me to go out on a date or showed any interest. It bothers me. Most of the people in my family have been in relationships at my age already. I feel like I will be single forever sometimes.",lately lot anxiety selfloathing fact young adult virgin girl never boyfriend seems like everyone age already boyfriend virgin anymore first kiss five month ago im worried rate wont boyfriend long time problem want lose virginity first boyfriend care time dont want waiting forever order experience sex already given bad temptation hooking random stranger social medium site oral sex luckily nice guy none wanted relationship feel dirty feel pressured thing order seem normal people surprised find virgin never boyfriend people think really good looking tall play lot sport get excellent grade school first year university right guy approached go date showed interest bother people family relationship age already feel like single forever sometimes,sadness
"I don't know what's with me. I'm almost constantly angry. Even when I'm happy, I still feel anger inside me. When I acknowledge it, it ruins my mood and takes over. I get angry at the littlest things. Even if I think someone said something they didn't, it infuriates me. Something perfectly normal can make me go off. When my anger flares up, I get a terrible pain in my chest that lasts for a while. It's like there is a fire constantly burning in my body, and anger is gasoline.",dont know whats im almost constantly angry even im happy still feel anger inside acknowledge ruin mood take get angry littlest thing even think someone said something didnt infuriates something perfectly normal make go anger flare get terrible pain chest last like fire constantly burning body anger gasoline,joy
"My mom made a lot of mistakes a couple years back, and I can't seem to forgive her. I want to say that it's okay, but I can't. I feel like even if I did forgive her, I wouldn't be able to say it to her face.",mom made lot mistake couple year back cant seem forgive want say okay cant feel like even forgive wouldnt able say face,sadness
"My ex-husband told my two adolescents that Santa doesn't exist on the day before Christmas. They are desperate to hold on to the magic of Christmas, but I don't know if it's right for me to lie to them and tell them that Santa is real. I don't want to let them down and make them lose out on those memories, but I also don't want to lose their trust.",exhusband told two adolescent santa doesnt exist day christmas desperate hold magic christmas dont know right lie tell santa real dont want let make lose memory also dont want lose trust,sadness
"I broke up with him three weeks ago because I felt that he needed to be more respectful. He has since had a rebound relationship. He says he loves and misses me but refuses to see me. He says it's going to be too difficult to see me. Every time we talk, it feels like I'm being pushy to see him. He used to be so madly in love with me, but now, it seems like he couldn’t care less. I think I'm running him away.",broke three week ago felt needed respectful since rebound relationship say love miss refuse see say going difficult see every time talk feel like im pushy see used madly love seems like couldnt care less think im running away,sadness
"My mom made a lot of mistakes a couple years back, and I can't seem to forgive her. I want to say that it's okay, but I can't. I feel like even if I did forgive her, I wouldn't be able to say it to her face.",mom made lot mistake couple year back cant seem forgive want say okay cant feel like even forgive wouldnt able say face,sadness
"I've been with my husband for eight years now. We have split twice before, and the first time was because he cheated. I took him back months later, and he really tried making it up to me by making a lot of changes. However, we continued to have issues because of my lack of trust. My insecurities and trust issues lead to physical abuse, which lead to us separating again. During that separation, he consoled himself by talking to the same girl he cheated on me with. But we then ended up back together and worked it out for a while until I got pregnant with our second child.

The baby was a few months old, and he confessed to me about his secret relationship with her. He told me how he could never stop talking to her and how, during our issues, she has been and is the only women he's gone behind my back with (but on a friendship level because she's miles away). He confessed how he fought feelings for her and feels like he's possibly in love with her too. He said he feels like he's in love with the both of us now because this women has fallen for him, and she hasn't been able to leave him alone since. Even though she knows that he's still with me and happy with our family, she can’t help it, and he confessed how his feeling for her are mutual. Being that he loves me too, he wanted to be with the both of us at the same time. He wanted to have affairs with her behind my back by flying her out and staying at a hotels, but he didn't want me to find out, so he told me everything. He said he didn't want to continue to lie to me and so I can finally stop accusing him of being with other women when it's only been this one girl the whole time. He feels like my insecurities and trust issues are what pushed him closer towards her, and that no matter what he did to do right, I would still accuse him. He's caught up in his feelings and pretty much says that he wants her but doesn't want me to leave him because I'm the one he wants to be with for the rest of his life.

I'm of course hurt and in shock. I feel like I have to make a decision on whether I want to allow it and deal with having to share him or walk away. Both of these decisions are really hard to make because I feel like whether I stay or go, my heart will still be torn apart. I have to make a decision quick because she will be flying out sooner than I thought.",ive husband eight year split twice first time cheated took back month later really tried making making lot change however continued issue lack trust insecurity trust issue lead physical abuse lead u separating separation consoled talking girl cheated ended back together worked got pregnant second child baby month old confessed secret relationship told could never stop talking issue woman he gone behind back friendship level shes mile away confessed fought feeling feel like he possibly love said feel like he love u woman fallen hasnt able leave alone since even though know he still happy family cant help confessed feeling mutual love wanted u time wanted affair behind back flying staying hotel didnt want find told everything said didnt want continue lie finally stop accusing woman one girl whole time feel like insecurity trust issue pushed closer towards matter right would still accuse he caught feeling pretty much say want doesnt want leave im one want rest life im course hurt shock feel like make decision whether want allow deal share walk away decision really hard make feel like whether stay go heart still torn apart make decision quick flying sooner thought,sadness
"I crave attention, companionship, and sex. She has had a hysterectomy, and she has a bad knee.",crave attention companionship sex hysterectomy bad knee,sadness
"My girlfriend and I have broken up and gotten back together numerous times in the past two years. We recently just broke up again last night on New Year’s Eve. When we break up, the very next day, she calls me and acts as if nothing has happened. She acts like everything is alright. This has been going on for two years. I do love her and care about her and her children a lot, but she seems really demanding as far as what she deserves from a man. She is always telling me that she deserves this and that from a man. It makes me feel like crap because I cannot give her everything that she wants. She told me one time that she wants a man who is going to be afraid to lose her. Is that a normal thing that women want, or should I just move on already? I am in my 30s and she is in her 40s.",girlfriend broken gotten back together numerous time past two year recently broke last night new year eve break next day call act nothing happened act like everything alright going two year love care child lot seems really demanding far deserves man always telling deserves man make feel like crap cannot give everything want told one time want man going afraid lose normal thing woman want move already,sadness
,nan,optimism
"I am so angry. I feel like the arguments with my parents have caused me so much anxiety and stress, and I don't know what to do. I want to sit down with a psychologist, but I cannot afford one, nor do I have my own health insurance. I can feel myself starting to get violent. I throw things of value when I start to get mad. I have punched holes in my wall. I can feel my aggression getting worse.",angry feel like argument parent caused much anxiety stress dont know want sit psychologist cannot afford one health insurance feel starting get violent throw thing value start get mad punched hole wall feel aggression getting worse,joy
,nan,optimism
"I have bipolar II disorder, I'm addicted to alcohol and weed, and I'm hopeless. I keep drinking even though it's harming myself and others.",bipolar ii disorder im addicted alcohol weed im hopeless keep drinking even though harming others,sadness
"My boyfriend has a child he gets every other weekend. He goes to see her twice a week or more. Every time she leaves, he gets into these funks like when his mom died. When she’s here, she’s disrespectful, and his answer is “Well, I don’t know what to tell you.” She swears and talks back, and he laughs. He and her mom have been apart for three years, and he blames her behavior on that and her being so young. We never have adult time when she’s not here. She’s the ""golden child,"" and he won’t listen to anyone.",boyfriend child get every weekend go see twice week every time leaf get funk like mom died shes shes disrespectful answer well dont know tell swears talk back laugh mom apart three year blame behavior young never adult time shes shes golden child wont listen anyone,joy
"I am so angry. I feel like the arguments with my parents have caused me so much anxiety and stress, and I don't know what to do. I want to sit down with a psychologist, but I cannot afford one, nor do I have my own health insurance. I can feel myself starting to get violent. I throw things of value when I start to get mad. I have punched holes in my wall. I can feel my aggression getting worse.",angry feel like argument parent caused much anxiety stress dont know want sit psychologist cannot afford one health insurance feel starting get violent throw thing value start get mad punched hole wall feel aggression getting worse,joy
"Just wondering if this is a deviant act, and if I should be concerned for him. He isn’t quite 10.",wondering deviant act concerned isnt quite,sadness
"I've been in a relationship for over a year. He's cheated and lied. I heard he's married, but he says he's not. Everything is very up and down; there's no trust. Recently, he went on a trip, and I promised him I'd behave and not drink because when I drink, I drink too much, and I tend to make poor choices. This time, I made a huge mistake: I drank too much, and I cheated on him. I slept with another man for about five minutes before realizing what I was doing is wrong. I told him and he just got really rude. He called me names and threatened me. I feel bad as I do love him. We just have so many issues. I'm not a bad person, I've just made a lot of bad mistakes. It’s unintentional, and I know right from wrong, but why do I still make the wrong choice?",ive relationship year he cheated lied heard he married say he everything there trust recently went trip promised id behave drink drink drink much tend make poor choice time made huge mistake drank much cheated slept another man five minute realizing wrong told got really rude called name threatened feel bad love many issue im bad person ive made lot bad mistake unintentional know right wrong still make wrong choice,joy
"My fiancé and I have been in a relationship for two years. We have an infant son. My fiancé also has a child from a previous relationship. We do not live together. I live with my mother currently while I get on my feet, and he's living with some friends. My mother and I have an awful relationship that is completely unbearable most of the time. We cannot even stand to be around one another while living in the same house. She has made it clear that she wants me gone. Recently, I was talking to my father who lives in a different state. My father and I have always had a good relationship. I explained to him the situation I am in with my mother, and he said he would like for me, my fiancé, and our son to come live with him and his wife. I would really love to go. I do not want my son to be in this environment with constant arguing and negativity any longer. There is nowhere else for me to stay while remaining in this state. The problem is my fiancé is refusing to move away with me because he does not want to leave behind his other child. He and his child's mother have a horrible relationship, and she would absolutely not be willing to let him visit if we moved away. I believe I would be doing what is best for my child by moving away, but I do not want to leave without my fiancé. I have already explained the situation to him, and he will not give in. Do I continue to stay in this negative environment with my child and keep our family together? Do I move away with my child and have my relationship end? I do not want to take him out of either of his kids’ lives. What do I do?",fianc relationship two year infant son fianc also child previous relationship live together live mother currently get foot he living friend mother awful relationship completely unbearable time cannot even stand around one another living house made clear want gone recently talking father life different state father always good relationship explained situation mother said would like fianc son come live wife would really love go want son environment constant arguing negativity longer nowhere else stay remaining state problem fianc refusing move away want leave behind child child mother horrible relationship would absolutely willing let visit moved away believe would best child moving away want leave without fianc already explained situation give continue stay negative environment child keep family together move away child relationship end want take either kid life,joy
,nan,optimism
"Ever since my ex-boyfriend and I broke up, I can't seem to get close to anyone else. I know I'm completely over him, but I just can't break down my walls and let someone new into my life.",ever since exboyfriend broke cant seem get close anyone else know im completely cant break wall let someone new life,sadness
I didn't trust my wife when I found out that she had a new guy friend that she was texting and calling. I investigated him before I found out that he was gay and that there was nothing going on. Now all my wife and I do is fight about trust.,didnt trust wife found new guy friend texting calling investigated found gay nothing going wife fight trust,joy
"I am lazy. I am very aware of the problem and try to talk myself out of it all the time, but I never seem to shake the habits. I try to think of what it is doing to me and my future, but no matter what, I keep creating excuses for myself to continue the procrastination. All I'm ever left with is regrets and a low grade. I am at an all-time low in my life, and I'm not even that old. I've always been a straight-A student, but now I'm getting C's and F's, and it hurts me to know that I am way better than that. It's not even like the work is hard.",lazy aware problem try talk time never seem shake habit try think future matter keep creating excuse continue procrastination im ever left regret low grade alltime low life im even old ive always straighta student im getting c f hurt know way better even like work hard,sadness
"I have been seeing this guy for a little over a year. Back in August, he asked for us to step back for now. Since then, he has still been in contact with me every day. We spent some time together over the holidays, but then I was gone for New Years with family. I came to find out that he put himself on a dating site. When I found out, I asked him about it, and he responded with this: “My apologies if I got my signals crossed, or if I wasn’t honest with you. You have helped me tons this past year and I am glad you are in my life. I didn’t realize you were still interested in dating. Again, my apologies.” Also, is it better to say that I want him in my life or that I want him as part of my life?",seeing guy little year back august asked u step back since still contact every day spent time together holiday gone new year family came find put dating site found asked responded apology got signal crossed wasnt honest helped ton past year glad life didnt realize still interested dating apology also better say want life want part life,sadness
"I am lazy. I am very aware of the problem and try to talk myself out of it all the time, but I never seem to shake the habits. I try to think of what it is doing to me and my future, but no matter what, I keep creating excuses for myself to continue the procrastination. All I'm ever left with is regrets and a low grade. I am at an all-time low in my life, and I'm not even that old. I've always been a straight-A student, but now I'm getting C's and F's, and it hurts me to know that I am way better than that. It's not even like the work is hard.",lazy aware problem try talk time never seem shake habit try think future matter keep creating excuse continue procrastination im ever left regret low grade alltime low life im even old ive always straighta student im getting c f hurt know way better even like work hard,sadness
I didn't trust my wife when I found out that she had a new guy friend that she was texting and calling. I investigated him before I found out that he was gay and that there was nothing going on. Now all my wife and I do is fight about trust.,didnt trust wife found new guy friend texting calling investigated found gay nothing going wife fight trust,joy
"I have an overwhelming desire to watch my wife have sex with another man. I talked to her about it, and she said she will do it for me. The idea excites me to no end, but I don’t want to because it disgusts me. How can I stop wanting it, or should I just give into it and do it? I’ve been struggling for years with this. It won’t go away. By the way, I am in my mid 30s and my wife is in her mid 40s.",overwhelming desire watch wife sex another man talked said idea excites end dont want disgust stop wanting give ive struggling year wont go away way mid wife mid,sadness
"From the moment I wake up, I hear what I think is my voice in my head. Even now, I hear it saying every word I’m thinking. When I lay down to sleep, I think of weird and crazy things, and the voice will never stop talking. I don’t know if it’s me thinking. It never stops. I’ll lay in my bed for hours just thinking about weird stuff. I should mention that I talk to myself a lot: mostly in my head, but out loud as well.",moment wake hear think voice head even hear saying every word im thinking lay sleep think weird crazy thing voice never stop talking dont know thinking never stop ill lay bed hour thinking weird stuff mention talk lot mostly head loud well,sadness
"I'm a female freshman in high school, and this question is for my male best friend. At the start of freshman year, we dated for about a week before his parents ended it because they said he is too young to date. He has been dating a really sweet senior girl for a month or two. I have nothing against her except for the fact that she has Tim's heart. He is convinced that they are in love, and maybe they are, but I don't really believe him. 

Lately, Tim had been expressing concern about what is going to happen when Sally leaves for college at the end of term this year. He's been asking me to help him with Sally and what girls like to show her how much he loves her. But he's also been thinking about breaking up with her just so they won't have to deal with it when she leaves. He seems really torn up about it, and I want to know what to say to him and how to help him once she leaves. 

He knows that I still crush on him. He doesn't rub it in my face. He's a good guy, but I want to actually help him out and recover before we think about maybe another relationship between us. How do I do that when the time comes? How do I support him and show him that I'm here without wanting to hook up? How do I make him feel better? He is convinced he's never going to be able to love anyone ever again, which I think is ridiculous.",im female freshman high school question male best friend start freshman year dated week parent ended said young date dating really sweet senior girl month two nothing except fact tims heart convinced love maybe dont really believe lately tim expressing concern going happen sally leaf college end term year he asking help sally girl like show much love he also thinking breaking wont deal leaf seems really torn want know say help leaf know still crush doesnt rub face he good guy want actually help recover think maybe another relationship u time come support show im without wanting hook make feel better convinced he never going able love anyone ever think ridiculous,sadness
"My husband and I got into a huge dispute. He said he wanted a divorce, and I left. I still come home a lot and see my kids, and he has not filed yet even though he still said he is. What does that mean for our marriage?",husband got huge dispute said wanted divorce left still come home lot see kid filed yet even though still said mean marriage,joy
"From the moment I wake up, I hear what I think is my voice in my head. Even now, I hear it saying every word I’m thinking. When I lay down to sleep, I think of weird and crazy things, and the voice will never stop talking. I don’t know if it’s me thinking. It never stops. I’ll lay in my bed for hours just thinking about weird stuff. I should mention that I talk to myself a lot: mostly in my head, but out loud as well.",moment wake hear think voice head even hear saying every word im thinking lay sleep think weird crazy thing voice never stop talking dont know thinking never stop ill lay bed hour thinking weird stuff mention talk lot mostly head loud well,sadness
I was violently raped by another women who was my friend of 13 years. I’m having bad flashbacks. I’m scared to sleep because I see it in my dreams. I don't leave the house because I have panic attacks.,violently raped another woman friend year im bad flashback im scared sleep see dream dont leave house panic attack,sadness
"I'm in my early 20s. I’ve been married once, and he cheated on me. Ever since then, I've felt ugly no matter what. I'm engaged, and I still feel ugly. I don't like to take pictures of myself.",im early ive married cheated ever since ive felt ugly matter im engaged still feel ugly dont like take picture,sadness
"From the moment I wake up, I hear what I think is my voice in my head. Even now, I hear it saying every word I’m thinking. When I lay down to sleep, I think of weird and crazy things, and the voice will never stop talking. I don’t know if it’s me thinking. It never stops. I’ll lay in my bed for hours just thinking about weird stuff. I should mention that I talk to myself a lot: mostly in my head, but out loud as well.",moment wake hear think voice head even hear saying every word im thinking lay sleep think weird crazy thing voice never stop talking dont know thinking never stop ill lay bed hour thinking weird stuff mention talk lot mostly head loud well,sadness
,nan,optimism
"I have anger issues that have worsened over the years because I’ve never dealt with my emotions. My anger has never been expressed physically until the past year. My girlfriend has had to endure these episodes. I love her, and I think I’m about to lose her, if I already haven’t. I throw things at her when I’m angry, and sometimes I hit her. I may not hit her enough to cause harm, but I still physically lash out at her. I don’t want to lose her, and I don’t want the situation to worsen. I am a lesbian in my early 30s, and I have been dealing with anger since my childhood. I'm ready to change. I need help now. I'm about to explode.",anger issue worsened year ive never dealt emotion anger never expressed physically past year girlfriend endure episode love think im lose already havent throw thing im angry sometimes hit may hit enough cause harm still physically lash dont want lose dont want situation worsen lesbian early dealing anger since childhood im ready change need help im explode,joy
"My husband’s ex-wife married a man who was charged with seven felony counts of pandering involving a minor. He, by his own admission, is addicted to child pornography. My step-daughters are now all teenagers. They do not know. My husband’s ex-wife has kept this information from my step-daughters. The step-father has had issues regarding his pornography addiction recently. The ex-wife minimizes it by saying that he has ""repented."" It is a constant strain on my husband, knowing that his girls are living with a man who is addicted to child pornography. My own therapist believes the girls should be told. The ex-wife says her therapist says the opposite.",husband exwife married man charged seven felony count pandering involving minor admission addicted child pornography stepdaughter teenager know husband exwife kept information stepdaughter stepfather issue regarding pornography addiction recently exwife minimizes saying repented constant strain husband knowing girl living man addicted child pornography therapist belief girl told exwife say therapist say opposite,sadness
"I have anger issues that have worsened over the years because I’ve never dealt with my emotions. My anger has never been expressed physically until the past year. My girlfriend has had to endure these episodes. I love her, and I think I’m about to lose her, if I already haven’t. I throw things at her when I’m angry, and sometimes I hit her. I may not hit her enough to cause harm, but I still physically lash out at her. I don’t want to lose her, and I don’t want the situation to worsen. I am a lesbian in my early 30s, and I have been dealing with anger since my childhood. I'm ready to change. I need help now. I'm about to explode.",anger issue worsened year ive never dealt emotion anger never expressed physically past year girlfriend endure episode love think im lose already havent throw thing im angry sometimes hit may hit enough cause harm still physically lash dont want lose dont want situation worsen lesbian early dealing anger since childhood im ready change need help im explode,joy
I'm feeling different towards my husband. I feel I am growing from the relationship. I have been with my husband for six years and married for almost five. I just don't feel that connection anymore. I feel nothing. I don't know why or if I'm just being irrational.,im feeling different towards husband feel growing relationship husband six year married almost five dont feel connection anymore feel nothing dont know im irrational,sadness
"My husband’s ex-wife married a man who was charged with seven felony counts of pandering involving a minor. He, by his own admission, is addicted to child pornography. My step-daughters are now all teenagers. They do not know. My husband’s ex-wife has kept this information from my step-daughters. The step-father has had issues regarding his pornography addiction recently. The ex-wife minimizes it by saying that he has ""repented."" It is a constant strain on my husband, knowing that his girls are living with a man who is addicted to child pornography. My own therapist believes the girls should be told. The ex-wife says her therapist says the opposite.",husband exwife married man charged seven felony count pandering involving minor admission addicted child pornography stepdaughter teenager know husband exwife kept information stepdaughter stepfather issue regarding pornography addiction recently exwife minimizes saying repented constant strain husband knowing girl living man addicted child pornography therapist belief girl told exwife say therapist say opposite,sadness
"I decided to stay and work it out. I just don’t want to sit on the couch. Other than that, I have been getting over the situation. I don't feel it is fair that she expects me to sit on that couch and won’t leave me alone about it. I can move on and continue to love, laugh, and play with my wife. I just don't want to sit on that couch.",decided stay work dont want sit couch getting situation dont feel fair expects sit couch wont leave alone move continue love laugh play wife dont want sit couch,sadness
"My toddler defies everything I say and doesn’t see me as authoritative, so she says no about everything. I'd like to hear some ways I can work on not needing to feel so much in control all the time.",toddler defies everything say doesnt see authoritative say everything id like hear way work needing feel much control time,sadness
"My boyfriend and I have been together for five years now. Throughout the entire first day that we met, he and I had the opportunity to interact quite a lot and instantly sparked a deep connection with one another. That same night, he and a friend stayed over at my house (without my mom's acknowledgment) and we kissed. The next two days were a repetition of the first day. On the third night, my mother finally caught us, and I was kicked out of my house. I left with him of course, and we went from meeting each other to being like a married couple. It was very hard for us. His stepdad also kicked him out of his home, and we were staying at cheap hotels and friend's houses with the little money we had. I quit my job and dropped out of school because it was hard to do anything without a stable home. There were times when we had nowhere else to go but sleep in the car outside a Walmart parking lot. Our honeymoon stage, as they call it, probably only lasted one month. After that, it was a downward spiral. We were constantly arguing about money, food, and our families. We kept having the famous ""you're doing it wrong—do it this way"" argument. After six months, we moved across the country only to live the same thing, and that's when the violence started. One afternoon, after a serious argument, he got into his truck and threatened to leave me. I was frightened that he would actually go through with his word, given that we had just moved to a place where we knew no one. He told me to let him leave or he would hit me. He had once promised he would never touch me, so I challenged him to do it. He slapped me, and ever since that time, when we have serious fights, he loses control and hurts me. I haven't had the courage to leave him, and there's really nothing stopping me now. I don't live with him, I don't depend on him, and we don't have children. We both haven't been able to let go of that deep connection that we still have and that has been damaged so badly. He always apologizes, and at the beginning, he was more willing to change. Now he just wants me to understand why he does it and how I don't ever make the effort to try to be okay. I've read enough about domestic violence to know that it's not my fault that he loses control, so that's not even an issue for me. I know he has to change that on his own. I just want to know if there's people who have gone through this and had the tables turned? Is there hope for a better future together?",boyfriend together five year throughout entire first day met opportunity interact quite lot instantly sparked deep connection one another night friend stayed house without mom acknowledgment kissed next two day repetition first day third night mother finally caught u kicked house left course went meeting like married couple hard u stepdad also kicked home staying cheap hotel friend house little money quit job dropped school hard anything without stable home time nowhere else go sleep car outside walmart parking lot honeymoon stage call probably lasted one month downward spiral constantly arguing money food family kept famous youre wrongdo way argument six month moved across country live thing thats violence started one afternoon serious argument got truck threatened leave frightened would actually go word given moved place knew one told let leave would hit promised would never touch challenged slapped ever since time serious fight loses control hurt havent courage leave there really nothing stopping dont live dont depend dont child havent able let go deep connection still damaged badly always apologizes beginning willing change want understand dont ever make effort try okay ive read enough domestic violence know fault loses control thats even issue know change want know there people gone table turned hope better future together,sadness
"My girlfriend broke up with me five months ago because I said awful things to her one night for no reason of hers. I have been trying to get her back, but it isn’t easy. She is in her 50s and I am in my 40s. She is the one I want for my life, and this is killing me. Every day, I cry, and I am desperate for help.",girlfriend broke five month ago said awful thing one night reason trying get back isnt easy one want life killing every day cry desperate help,sadness
"I’m a teenager. My entire family needs family therapy, and more than likely individual therapy. My parents refuse to take action, and I'm tired of it. Is there any way I can get out of this myself?",im teenager entire family need family therapy likely individual therapy parent refuse take action im tired way get,sadness
"After a domestic abuse situation, I went to a therapist, and then my husband went. The therapist discussed her assessment of borderline personality disorder with me. She then told my abuser the results of my tests.",domestic abuse situation went therapist husband went therapist discussed assessment borderline personality disorder told abuser result test,sadness
"I love my boyfriend and everything that leads to sex, but when it comes to the actual penetration, I hate it. I don't know why, but I just want it to be over. I feel like crying. I don't know why I don’t like it because all of my friends enjoy it.",love boyfriend everything lead sex come actual penetration hate dont know want feel like cry dont know dont like friend enjoy,sadness
"My toddler defies everything I say and doesn’t see me as authoritative, so she says no about everything. I'd like to hear some ways I can work on not needing to feel so much in control all the time.",toddler defies everything say doesnt see authoritative say everything id like hear way work needing feel much control time,sadness
"I love my boyfriend and everything that leads to sex, but when it comes to the actual penetration, I hate it. I don't know why, but I just want it to be over. I feel like crying. I don't know why I don’t like it because all of my friends enjoy it.",love boyfriend everything lead sex come actual penetration hate dont know want feel like cry dont know dont like friend enjoy,sadness
Why am I so afraid of it? I don't understand.,afraid dont understand,sadness
"I have no idea what happened. I go places and do things but still feel lonely. I honestly have no friends, and I am always the one texting people and bothering people. I feel invisible, like someone that no one wants to be around.",idea happened go place thing still feel lonely honestly friend always one texting people bothering people feel invisible like someone one want around,sadness
"My toddler defies everything I say and doesn’t see me as authoritative, so she says no about everything. I'd like to hear some ways I can work on not needing to feel so much in control all the time.",toddler defies everything say doesnt see authoritative say everything id like hear way work needing feel much control time,sadness
"I have been diagnosed with posttraumatic stress disorder due to my military experiences. Not a year ago, I had a car accident. Could this experience add more problems?",diagnosed posttraumatic stress disorder due military experience year ago car accident could experience add problem,sadness
,nan,optimism
,nan,optimism
"Whenever I run into a situation that makes me upset or angry, I tend to start cursing and badly offending the person I am confronting. I say mean things to let my anger out. Whenever people tell me stuff about my relationship (like starting rumors or saying negative things about me or my relationship) I lash out not just them but at my boyfriend. I feel like I keep causing drama due to my personality. I want to be a better person and learn to let things not get to me and be happy and graceful. I hurt the ones I love with my words. I want to be better for myself and them.",whenever run situation make upset angry tend start cursing badly offending person confronting say mean thing let anger whenever people tell stuff relationship like starting rumor saying negative thing relationship lash boyfriend feel like keep causing drama due personality want better person learn let thing get happy graceful hurt one love word want better,joy
"I have family issues, and my dad was both violent and a cheater.",family issue dad violent cheater,joy
"I have family issues, and my dad was both violent and a cheater.",family issue dad violent cheater,joy
"Over the course of a few days, my wife was unsure about her feelings for me due to constant intimacy issues. After she thought things through, she came to the realization that she is no longer ""in love"" or attracted romantically to me. She instead has more of a platonic love and just cares for me as just ""family."" At that point, she said our marriage was over. Now over the course of the last few days, she has taken a ""friendship"" from a coworker. She insists there is nothing more than friends, but she has spent all her free time with him.",course day wife unsure feeling due constant intimacy issue thought thing came realization longer love attracted romantically instead platonic love care family point said marriage course last day taken friendship coworker insists nothing friend spent free time,sadness
"My daughter didn't see her biological father for the last three years. She doesn’t want to see him because she remember really bad things from him such as domestic violence and child abuse. The visitation is with supervision, but she refuses to see him. Is it better to take my daughter to the therapist and try to see him after the therapy?",daughter didnt see biological father last three year doesnt want see remember really bad thing domestic violence child abuse visitation supervision refuse see better take daughter therapist try see therapy,sadness
My partner seems to always get depressed over the fact that his kids have to see and go through the divorce process. It’s especially when the mother of his kids keeps making him feel bad and using the kids as an excuse to get back at him. I feel like just telling him to go back with his family and forget about me.,partner seems always get depressed fact kid see go divorce process especially mother kid keep making feel bad using kid excuse get back feel like telling go back family forget,sadness
"Whenever I run into a situation that makes me upset or angry, I tend to start cursing and badly offending the person I am confronting. I say mean things to let my anger out. Whenever people tell me stuff about my relationship (like starting rumors or saying negative things about me or my relationship) I lash out not just them but at my boyfriend. I feel like I keep causing drama due to my personality. I want to be a better person and learn to let things not get to me and be happy and graceful. I hurt the ones I love with my words. I want to be better for myself and them.",whenever run situation make upset angry tend start cursing badly offending person confronting say mean thing let anger whenever people tell stuff relationship like starting rumor saying negative thing relationship lash boyfriend feel like keep causing drama due personality want better person learn let thing get happy graceful hurt one love word want better,joy
"I have family issues, and my dad was both violent and a cheater.",family issue dad violent cheater,joy
"My boyfriend recently got a kitty. I hate cats in general, and he knows it. It grosses me out and makes me very upset when he pets his cat. I want to throw out the cat. I feel very jealous.",boyfriend recently got kitty hate cat general know gross make upset pet cat want throw cat feel jealous,joy
"My daughter didn't see her biological father for the last three years. She doesn’t want to see him because she remember really bad things from him such as domestic violence and child abuse. The visitation is with supervision, but she refuses to see him. Is it better to take my daughter to the therapist and try to see him after the therapy?",daughter didnt see biological father last three year doesnt want see remember really bad thing domestic violence child abuse visitation supervision refuse see better take daughter therapist try see therapy,sadness
"Whenever I run into a situation that makes me upset or angry, I tend to start cursing and badly offending the person I am confronting. I say mean things to let my anger out. Whenever people tell me stuff about my relationship (like starting rumors or saying negative things about me or my relationship) I lash out not just them but at my boyfriend. I feel like I keep causing drama due to my personality. I want to be a better person and learn to let things not get to me and be happy and graceful. I hurt the ones I love with my words. I want to be better for myself and them.",whenever run situation make upset angry tend start cursing badly offending person confronting say mean thing let anger whenever people tell stuff relationship like starting rumor saying negative thing relationship lash boyfriend feel like keep causing drama due personality want better person learn let thing get happy graceful hurt one love word want better,joy
"My son stole my debit card and lied about it. It's not the first time he has lied. I don't know what to do anymore. I don't know if I should punish him or make him do something. I've tried talking to him and asking if anything was wrong. I have grounded him, but nothing works. What should I do?",son stole debit card lied first time lied dont know anymore dont know punish make something ive tried talking asking anything wrong grounded nothing work,joy
"I was hanging out with my close guy friend. We started kissing, but afterwards, he said that we should just stay friends because he doesn't want to ruin anything. We both just got out of relationships. His was very sexual. I'm not a sexual person, and he knows that. I want to be with him, but I'm not ready for another relationship, and I don't know if he ever will want to be more than friends.",hanging close guy friend started kissing afterwards said stay friend doesnt want ruin anything got relationship sexual im sexual person know want im ready another relationship dont know ever want friend,sadness
